target,feature_set,version,variant,family,inner_model,n_hits,hit_criteria,loso_mae_median,loso_mae_std,raw_mae_min,kalman_mae_min,rho,r2,loso_n_subjects
lt1,EMG+NIRS,v0104,with_abs,lstm,,5,raw_mae_min ↑; kalman_mae_min ↑; loso_mae_median ↑; rho ↓; r2 ↓,4.3175,1.7435,5.1385,5.0732,0.601,0.08,18
lt1,EMG+NIRS,v0104,noabs,lstm,,5,raw_mae_min ↑; kalman_mae_min ↑; loso_mae_median ↑; rho ↓; r2 ↓,4.2898,1.766,5.2107,5.1119,0.548,0.062,18
lt1,EMG+NIRS,v0106a,noabs,wavelet,,5,raw_mae_min ↑; kalman_mae_min ↑; loso_mae_std ↑ (стабильность); rho ↓; r2 ↓,4.7944,1.582,5.2628,5.2224,0.465,0.073,18
lt1,EMG+NIRS,v0106b,with_abs,wavelet,,5,raw_mae_min ↑; kalman_mae_min ↑; loso_mae_median ↑; loso_mae_std ↑ (стабильность); r2 ↓,4.5404,1.5209,4.9544,4.9066,0.435,0.155,18
lt1,EMG+NIRS,v0011,with_abs,linear,,5,raw_mae_min ↑; kalman_mae_min ↑; loso_mae_median ↑; rho ↓; r2 ↓,2.112,1.8667,3.5172,3.5886,0.745,0.52,18
lt1,EMG+NIRS,v0011,noabs,linear,,5,raw_mae_min ↑; kalman_mae_min ↑; loso_mae_median ↑; rho ↓; r2 ↓,2.112,1.8667,3.6416,3.7108,0.728,0.489,18
lt1,EMG+NIRS,v0101,with_abs,lstm,,4,raw_mae_min ↑; kalman_mae_min ↑; loso_mae_median ↑; rho ↓,4.5657,1.7879,5.3149,5.1811,0.665,0.012,18
lt1,EMG+NIRS,v0101,noabs,lstm,,4,raw_mae_min ↑; kalman_mae_min ↑; loso_mae_median ↑; rho ↓,4.5415,1.8443,5.3497,5.2123,0.633,-0.004,18
lt1,EMG+NIRS,v0106b,noabs,wavelet,,4,raw_mae_min ↑; kalman_mae_min ↑; loso_mae_std ↑ (стабильность); r2 ↓,4.7754,1.4623,5.0262,4.9823,0.429,0.145,18
lt1,EMG+NIRS,v0106c,noabs,wavelet,,4,loso_mae_median ↑; loso_mae_std ↑ (стабильность); rho ↓; r2 ↓,4.7084,1.6394,5.4059,5.3665,0.453,0.013,18
lt1,EMG+NIRS,v0107,noabs,ensemble,ensemble,4,raw_mae_min ↑; kalman_mae_min ↑; loso_mae_median ↑; rho ↓,4.0585,3.1046,5.1798,5.2054,0.587,-0.562,18
lt1,EMG+NIRS+HRV,v0104,noabs,lstm,,6,raw_mae_min ↑; kalman_mae_min ↑; loso_mae_median ↑; loso_mae_std ↑ (стабильность); rho ↓; r2 ↓,4.3149,1.7531,5.0399,5.0154,0.608,0.113,18
lt1,EMG+NIRS+HRV,v0106a,with_abs,wavelet,,6,raw_mae_min ↑; kalman_mae_min ↑; loso_mae_median ↑; loso_mae_std ↑ (стабильность); rho ↓; r2 ↓,4.3037,1.6743,5.1417,5.1125,0.524,0.096,18
lt1,EMG+NIRS+HRV,v0106b,with_abs,wavelet,,6,raw_mae_min ↑; kalman_mae_min ↑; loso_mae_median ↑; loso_mae_std ↑ (стабильность); rho ↓; r2 ↓,4.0664,1.6137,4.5684,4.5663,0.585,0.269,18
lt1,EMG+NIRS+HRV,v0106b,noabs,wavelet,,6,raw_mae_min ↑; kalman_mae_min ↑; loso_mae_median ↑; loso_mae_std ↑ (стабильность); rho ↓; r2 ↓,4.3178,1.5879,4.6857,4.6813,0.574,0.239,18
lt1,EMG+NIRS+HRV,v0107,with_abs,ensemble,ensemble,5,raw_mae_min ↑; kalman_mae_min ↑; loso_mae_median ↑; rho ↓; r2 ↓,3.6185,2.9463,4.4935,4.5385,0.686,0.134,18
lt1,EMG+NIRS+HRV,v0107,noabs,ensemble,ensemble,5,raw_mae_min ↑; kalman_mae_min ↑; loso_mae_median ↑; rho ↓; r2 ↓,2.7131,2.4722,3.7709,3.8112,0.78,0.166,18
lt1,EMG+NIRS+HRV,v0011,with_abs,linear,,5,raw_mae_min ↑; kalman_mae_min ↑; loso_mae_median ↑; rho ↓; r2 ↓,2.2293,1.9752,3.2867,3.3515,0.791,0.574,18
lt1,EMG+NIRS+HRV,v0011,noabs,linear,,5,raw_mae_min ↑; kalman_mae_min ↑; loso_mae_median ↑; rho ↓; r2 ↓,2.2293,1.9752,3.2626,3.3112,0.792,0.584,18
lt1,EMG+NIRS+HRV,v0104,with_abs,lstm,,4,raw_mae_min ↑; kalman_mae_min ↑; loso_mae_median ↑; r2 ↓,4.5355,1.7835,5.1671,5.1135,0.487,0.072,18
lt1,EMG+NIRS+HRV,v0106a,noabs,wavelet,,4,raw_mae_min ↑; kalman_mae_min ↑; loso_mae_std ↑ (стабильность); r2 ↓,4.5448,1.6997,5.2096,5.1708,0.445,0.07,18
lt1,HRV,v0011,with_abs,linear,,6,raw_mae_min ↑; kalman_mae_min ↑; loso_mae_median ↑; loso_mae_std ↑ (стабильность); rho ↓; r2 ↓,3.5103,2.0107,4.0142,4.1424,0.654,0.379,18
lt1,HRV,v0011,noabs,linear,,6,raw_mae_min ↑; kalman_mae_min ↑; loso_mae_median ↑; loso_mae_std ↑ (стабильность); rho ↓; r2 ↓,3.5103,2.0107,4.0095,4.1097,0.665,0.391,18
lt1,NIRS,v0106a,with_abs,wavelet,,6,raw_mae_min ↑; kalman_mae_min ↑; loso_mae_median ↑; loso_mae_std ↑ (стабильность); rho ↓; r2 ↓,4.122,1.7339,4.9925,4.9702,0.662,0.126,18
lt1,NIRS,v0106a,noabs,wavelet,,6,raw_mae_min ↑; kalman_mae_min ↑; loso_mae_median ↑; loso_mae_std ↑ (стабильность); rho ↓; r2 ↓,4.3158,1.6995,5.0776,5.0526,0.581,0.101,18
lt1,NIRS,v0106b,with_abs,wavelet,,5,raw_mae_min ↑; kalman_mae_min ↑; loso_mae_median ↑; loso_mae_std ↑ (стабильность); r2 ↓,4.4423,1.6797,5.1836,5.1025,0.43,0.053,18
lt1,NIRS,v0106b,noabs,wavelet,,5,raw_mae_min ↑; kalman_mae_min ↑; loso_mae_median ↑; loso_mae_std ↑ (стабильность); r2 ↓,4.3777,1.7488,5.2387,5.1601,0.378,0.038,18
lt1,NIRS,v0107,with_abs,ensemble,ensemble,5,raw_mae_min ↑; kalman_mae_min ↑; loso_mae_median ↑; rho ↓; r2 ↓,3.8006,3.0444,4.9151,4.9542,0.593,0.111,18
lt1,NIRS,v0107,noabs,ensemble,ensemble,5,raw_mae_min ↑; kalman_mae_min ↑; loso_mae_median ↑; rho ↓; r2 ↓,3.6158,2.9038,4.6622,4.7261,0.613,0.177,18
lt1,NIRS,v0011,with_abs,linear,,5,raw_mae_min ↑; kalman_mae_min ↑; loso_mae_median ↑; rho ↓; r2 ↓,3.6161,2.0263,4.1421,4.1327,0.719,0.371,18
lt1,NIRS,v0011,noabs,linear,,5,raw_mae_min ↑; kalman_mae_min ↑; loso_mae_median ↑; rho ↓; r2 ↓,3.6161,2.0263,3.9978,4.0737,0.736,0.444,18
lt1,NIRS,v0104,with_abs,lstm,,4,raw_mae_min ↑; kalman_mae_min ↑; loso_mae_median ↑; r2 ↓,4.5136,1.7737,5.2194,5.1746,0.511,0.062,18
lt1,NIRS,v0104,noabs,lstm,,4,raw_mae_min ↑; kalman_mae_min ↑; loso_mae_median ↑; r2 ↓,4.275,1.7639,5.2009,5.15,0.554,0.066,18
lt2,EMG,v0104,with_abs,lstm,,5,raw_mae_min ↑; loso_mae_median ↑; loso_mae_std ↑ (стабильность); rho ↓; r2 ↓,4.4526,1.8566,5.5744,5.7852,0.446,-0.178,17
lt2,EMG,v0105,noabs,tcn,,5,raw_mae_min ↑; kalman_mae_min ↑; loso_mae_median ↑; loso_mae_std ↑ (стабильность); r2 ↓,4.508,1.6169,5.3747,5.414,0.125,-0.005,16
lt2,EMG,v0106a,noabs,wavelet,,5,raw_mae_min ↑; kalman_mae_min ↑; loso_mae_median ↑; loso_mae_std ↑ (стабильность); r2 ↓,4.4135,1.819,5.5576,5.7659,0.414,-0.175,17
lt2,EMG,v0011,with_abs,linear,"SVR(C=10,ε=0.1)",5,raw_mae_min ↑; kalman_mae_min ↑; loso_mae_median ↑; rho ↓; r2 ↓,2.7843,1.9421,3.8661,3.9506,0.669,0.419,18
lt2,EMG,v0011,noabs,linear,"SVR(C=10,ε=0.1)",5,raw_mae_min ↑; kalman_mae_min ↑; loso_mae_median ↑; rho ↓; r2 ↓,2.7843,1.9421,3.8661,3.9506,0.669,0.419,18
lt2,EMG,v0105,with_abs,tcn,,4,raw_mae_min ↑; kalman_mae_min ↑; loso_mae_std ↑ (стабильность); r2 ↓,4.7038,1.6403,5.4056,5.4362,0.088,-0.015,16
lt2,EMG,v0106a,with_abs,wavelet,,4,kalman_mae_min ↑; loso_mae_median ↑; loso_mae_std ↑ (стабильность); rho ↓,4.6203,1.8497,5.5773,5.7813,0.509,-0.184,17
lt2,EMG,v0106b,with_abs,wavelet,,4,raw_mae_min ↑; kalman_mae_min ↑; loso_mae_std ↑ (стабильность); r2 ↓,4.7364,1.3614,5.0247,5.0365,0.372,0.134,17
lt2,EMG,v0106b,noabs,wavelet,,4,raw_mae_min ↑; kalman_mae_min ↑; loso_mae_std ↑ (стабильность); r2 ↓,4.9822,1.4766,5.1461,5.1626,0.317,0.09,17
lt2,EMG,v0107,with_abs,ensemble,ensemble,4,raw_mae_min ↑; kalman_mae_min ↑; loso_mae_median ↑; rho ↓,3.8425,2.9898,5.3482,5.3113,0.538,-0.913,17
lt2,EMG,v0107,noabs,ensemble,ensemble,4,raw_mae_min ↑; kalman_mae_min ↑; loso_mae_median ↑; rho ↓,3.7184,3.0048,5.357,5.3254,0.534,-0.868,17
lt2,EMG,v0106c,with_abs,wavelet,,3,loso_mae_std ↑ (стабильность); rho ↓; r2 ↓,4.6965,1.7668,5.633,5.7986,0.446,-0.182,17
lt2,EMG+NIRS,v0106b,with_abs,wavelet,,6,raw_mae_min ↑; kalman_mae_min ↑; loso_mae_median ↑; loso_mae_std ↑ (стабильность); rho ↓; r2 ↓,4.639,1.3805,4.8082,4.8532,0.46,0.221,17
lt2,EMG+NIRS,v0011,with_abs,linear,"SVR(C=10,ε=1.0)",6,raw_mae_min ↑; kalman_mae_min ↑; loso_mae_median ↑; loso_mae_std ↑ (стабильность); rho ↓; r2 ↓,2.8964,1.735,3.7412,3.8493,0.698,0.502,18
lt2,EMG+NIRS,v0011,noabs,linear,"SVR(C=10,ε=1.0)",6,raw_mae_min ↑; kalman_mae_min ↑; loso_mae_median ↑; loso_mae_std ↑ (стабильность); rho ↓; r2 ↓,2.8964,1.735,3.5644,3.6695,0.727,0.545,18
lt2,EMG+NIRS,v0105,with_abs,tcn,,5,raw_mae_min ↑; kalman_mae_min ↑; loso_mae_median ↑; loso_mae_std ↑ (стабильность); r2 ↓,4.6189,1.568,5.3663,5.399,0.198,-0.004,16
lt2,EMG+NIRS,v0106a,noabs,wavelet,,5,raw_mae_min ↑; kalman_mae_min ↑; loso_mae_median ↑; loso_mae_std ↑ (стабильность); r2 ↓,4.6177,1.8395,5.5928,5.7976,0.438,-0.179,17
lt2,EMG+NIRS,v0106b,noabs,wavelet,,5,raw_mae_min ↑; kalman_mae_min ↑; loso_mae_std ↑ (стабильность); rho ↓; r2 ↓,4.8684,1.4086,4.8753,4.9134,0.445,0.213,17
lt2,EMG+NIRS,v0106c,noabs,wavelet,,5,kalman_mae_min ↑; loso_mae_median ↑; loso_mae_std ↑ (стабильность); rho ↓; r2 ↓,4.6916,1.7776,5.625,5.791,0.514,-0.177,17
lt2,EMG+NIRS,v0107,noabs,ensemble,ensemble,5,raw_mae_min ↑; kalman_mae_min ↑; loso_mae_median ↑; rho ↓; r2 ↓,3.8489,2.1787,4.5283,4.5449,0.733,-0.069,17
lt2,EMG+NIRS,v0105,noabs,tcn,,4,raw_mae_min ↑; kalman_mae_min ↑; loso_mae_std ↑ (стабильность); r2 ↓,4.8035,1.585,5.3987,5.4295,0.142,-0.009,16
lt2,EMG+NIRS,v0107,with_abs,ensemble,ensemble,4,raw_mae_min ↑; kalman_mae_min ↑; loso_mae_median ↑; rho ↓,4.2825,2.4679,5.1707,5.1461,0.615,-0.255,17
lt2,EMG+NIRS+HRV,v0011,with_abs,linear,"EN(α=1.0,l1=0.9)",6,raw_mae_min ↑; kalman_mae_min ↑; loso_mae_median ↑; loso_mae_std ↑ (стабильность); rho ↓; r2 ↓,1.914,1.0854,2.2835,2.4817,0.909,0.825,18
lt2,EMG+NIRS+HRV,v0011,noabs,linear,"EN(α=1.0,l1=0.9)",6,raw_mae_min ↑; kalman_mae_min ↑; loso_mae_median ↑; loso_mae_std ↑ (стабильность); rho ↓; r2 ↓,1.914,1.0854,2.7187,2.8169,0.883,0.584,18
lt2,EMG+NIRS+HRV,v0105,with_abs,tcn,,5,raw_mae_min ↑; kalman_mae_min ↑; loso_mae_median ↑; loso_mae_std ↑ (стабильность); r2 ↓,4.6236,1.5195,5.2931,5.3266,0.342,0.029,16
lt2,EMG+NIRS+HRV,v0106b,with_abs,wavelet,,5,raw_mae_min ↑; kalman_mae_min ↑; loso_mae_median ↑; loso_mae_std ↑ (стабильность); r2 ↓,4.0465,1.2639,4.33,4.4135,0.564,0.354,17
lt2,EMG+NIRS+HRV,v0106b,noabs,wavelet,,5,raw_mae_min ↑; kalman_mae_min ↑; loso_mae_median ↑; loso_mae_std ↑ (стабильность); r2 ↓,4.3384,1.3346,4.5126,4.5712,0.524,0.313,17
lt2,EMG+NIRS+HRV,v0107,with_abs,ensemble,ensemble,5,raw_mae_min ↑; kalman_mae_min ↑; loso_mae_median ↑; rho ↓; r2 ↓,2.3839,1.9804,2.9603,3.1046,0.848,0.568,17
lt2,EMG+NIRS+HRV,v0107,noabs,ensemble,ensemble,5,raw_mae_min ↑; kalman_mae_min ↑; loso_mae_median ↑; rho ↓; r2 ↓,2.5242,1.7883,2.9346,3.055,0.869,0.369,17
lt2,EMG+NIRS+HRV,v0102,with_abs,tcn,,4,raw_mae_min ↑; kalman_mae_min ↑; loso_mae_std ↑ (стабильность); r2 ↓,4.8387,1.1636,5.0583,5.2227,0.523,0.12,16
lt2,EMG+NIRS+HRV,v0105,noabs,tcn,,4,raw_mae_min ↑; kalman_mae_min ↑; loso_mae_std ↑ (стабильность); r2 ↓,4.764,1.601,5.3885,5.4203,0.098,-0.008,16
lt2,EMG+NIRS+HRV,v0106a,with_abs,wavelet,,4,raw_mae_min ↑; kalman_mae_min ↑; loso_mae_median ↑; rho ↓,4.4698,1.8119,5.3905,5.6264,0.703,-0.13,17
lt2,HRV,v0011,with_abs,linear,Ridge(α=1000),6,raw_mae_min ↑; kalman_mae_min ↑; loso_mae_median ↑; loso_mae_std ↑ (стабильность); rho ↓; r2 ↓,1.9025,1.2199,2.2468,2.504,0.911,0.817,18
lt2,HRV,v0011,noabs,linear,Ridge(α=1000),6,raw_mae_min ↑; kalman_mae_min ↑; loso_mae_median ↑; loso_mae_std ↑ (стабильность); rho ↓; r2 ↓,1.9025,1.2199,2.8409,2.9696,0.853,0.68,18
lt2,NIRS,v0106b,with_abs,wavelet,,6,raw_mae_min ↑; kalman_mae_min ↑; loso_mae_median ↑; loso_mae_std ↑ (стабильность); rho ↓; r2 ↓,3.9291,1.6327,4.6416,4.7672,0.574,0.193,17
lt2,NIRS,v0106b,noabs,wavelet,,6,raw_mae_min ↑; kalman_mae_min ↑; loso_mae_median ↑; loso_mae_std ↑ (стабильность); rho ↓; r2 ↓,3.7756,1.6528,4.7228,4.8574,0.62,0.172,17
lt2,NIRS,v0105,with_abs,tcn,,5,raw_mae_min ↑; kalman_mae_min ↑; loso_mae_median ↑; loso_mae_std ↑ (стабильность); r2 ↓,4.6299,1.7146,5.4491,5.5119,0.061,-0.058,16
lt2,NIRS,v0105,noabs,tcn,,5,raw_mae_min ↑; kalman_mae_min ↑; loso_mae_median ↑; loso_mae_std ↑ (стабильность); r2 ↓,4.6464,1.6018,5.3919,5.4525,0.235,-0.024,16
lt2,NIRS,v0107,with_abs,ensemble,ensemble,5,raw_mae_min ↑; kalman_mae_min ↑; loso_mae_median ↑; rho ↓; r2 ↓,4.063,3.305,5.1268,5.1822,0.529,-0.114,17
lt2,NIRS,v0107,noabs,ensemble,ensemble,5,raw_mae_min ↑; kalman_mae_min ↑; loso_mae_median ↑; rho ↓; r2 ↓,3.807,2.3694,4.5032,4.5506,0.629,0.239,17
lt2,NIRS,v0011,with_abs,linear,"GBM(n=50,d=2)",5,raw_mae_min ↑; kalman_mae_min ↑; loso_mae_median ↑; rho ↓; r2 ↓,3.4477,1.9577,4.2199,4.2895,0.615,0.333,18
lt2,NIRS,v0011,noabs,linear,"GBM(n=50,d=2)",5,raw_mae_min ↑; kalman_mae_min ↑; loso_mae_median ↑; rho ↓; r2 ↓,3.4477,1.9577,3.874,3.8788,0.724,0.465,18
lt2,NIRS,v0102,noabs,tcn,,4,raw_mae_min ↑; kalman_mae_min ↑; loso_mae_std ↑ (стабильность); r2 ↓,5.1376,1.5696,5.6766,5.8092,0.173,-0.166,16
lt2,NIRS,v0106c,with_abs,wavelet,,4,raw_mae_min ↑; loso_mae_median ↑; loso_mae_std ↑ (стабильность); rho ↓,4.746,1.8134,5.7111,5.8862,0.409,-0.218,17
lt2,NIRS,v0102,with_abs,tcn,,3,kalman_mae_min ↑; loso_mae_std ↑ (стабильность); r2 ↓,5.077,1.7376,5.7281,5.867,0.115,-0.214,16
